id,name,location,description,rating,imageUrl
1,Bãi Dài Cam Ranh,Khánh Hòa,"Bãi biển hoang sơ với vẻ đẹp tự nhiên, lý tưởng để thư giãn và tắm biển",4.8,https://www.uncovervietnam.com/wp-content/uploads/2021/06/bai-dai-beach-cam-ranh-vietnam.jpg
2,Tháp Bà Ponagar,Khánh Hòa,"Công trình kiến trúc Chăm cổ, nơi du khách có thể tìm hiểu về lịch sử và văn hóa Chăm",4.5,https://tse4.mm.bing.net/th?id=OIP.OHY4mpZ7m_uKpGiC1e9D8wHaF7&pid=Api&P=0&h=220
3,Thành cổ Diên Khánh,Khánh Hòa,"Di tích lịch sử với kiến trúc thành cổ độc đáo, được xây dựng từ thời Nguyễn.",4.5,https://tse2.mm.bing.net/th?id=OIP.BzA87w8zdYgM0o41HtKQCQHaFj&pid=Api&P=0&h=220
4,VinWonders Nha Trang,Khánh Hòa,"Công viên giải trí trên đảo Hòn Tre, nổi bật với nhiều trò chơi và hoạt động hấp dẫn.",4.6,https://tse1.mm.bing.net/th?id=OIP.5z6-9r5crvDbj01RkeQO2gHaDv&pid=Api&P=0&h=220
5,Suối Ba Hồ,Khánh Hòa,"Gồm ba hồ nước trong xanh nằm trên núi, thích hợp cho trekking và tắm suối",4.3,https://cdn1.nhatrangtoday.vn/images/photos/kdl-ba-ho-nha-trang-2.jpg
6,Đảo Phú Quốc ,Kiên Giang,"Là điểm du lịch nổi tiếng nhất Kiên Giang, được mệnh danh là ""Đảo Ngọc"" với nhiều bãi biển đẹp và dịch vụ cao cấp",4.8,https://vietnam.travel/sites/default/files/inline-images/du-lich-phu-quoc-thang-10-.jpeg
7,Biển Mũi Nai,Kiên Giang,"Bãi biển hiền hòa, nơi lý tưởng để thư giãn và ngắm cảnh hoàng hôn",4.7,https://tse1.mm.bing.net/th?id=OIP.Ya_axd_TszOeEk3QppjKMwHaFj&pid=Api&P=0&h=220
8,Chùa Láng Cát,Kiên Giang,Ngôi chùa cổ kính mang đậm dấu ấn Phật giáo.,4.4,https://tse4.mm.bing.net/th?id=OIP.8FZLE40kihfcd4nTAkjEZQHaFj&pid=Api&P=0&h=220
9,Vườn quốc gia U Minh Thượng,Kiên Giang,"Rừng ngập mặn với hệ sinh thái phong phú, là nơi lý tưởng để khám phá thiên nhiên hoang dã và tham quan bằng thuyền",4.6,https://nucuoimekong.com/wp-content/uploads/vuon-quoc-gia-u-minh-thuong-toan-canh.jpg
10,Mộ chị Sứ,Kiên Giang,"Khu di tích lịch sử nổi tiếng, gắn liền với cuộc kháng chiến chống Pháp.",4.4,https://tse2.mm.bing.net/th?id=OIP.TzRGCJsnEfeGXnPqQQFTLgHaFj&pid=Api&P=0&h=220
11,Nhà Thờ Gỗ Kon Tum,Kon Tum,Một biểu tượng của Kon Tum mang kiến trúc độc đáo pha trộn giữa phong cách Roman và nét văn hóa Tây Nguyên,4.4,https://tse1.mm.bing.net/th?id=OIP.RzH7A5ksQ9692U5WrfW10gHaFu&pid=Api&P=0&h=220
12,Cầu Treo Kon Klor,Kon Tum,"Cây cầu treo lớn và đẹp nhất ở Kon Tum, bắc qua sông Đăk Bla, được bao quanh bởi những cánh đồng lúa và núi rừng xanh mát",4.6,https://kontumtrip.com/wp-content/uploads/2021/03/cau-treo-kon-klor-%E2%80%98dai-lua-mau-cam-ben-dong-dak-bla-1615296514-600x600.jpg
13,Vườn Quốc Gia Chư Mom Ray,Kon Tum,"Là khu bảo tồn thiên nhiên lớn nhất Việt Nam, nổi bật với hệ sinh thái phong phú, những cánh rừng nguyên sinh và động vật quý hiếm",4.5,https://tse3.mm.bing.net/th?id=OIP.QOcHIfacwNqsrxuaNNlZ4gHaEr&pid=Api&P=0&h=220
14,Đỉnh Ngọc Linh,Kon Tum,"Ngọn núi cao nhất ở Tây Nguyên, thuộc dãy Trường Sơn, là nơi sinh sống của nhiều loài động thực vật quý hiếm.",4.4,https://tse4.mm.bing.net/th?id=OIP.yYzLVlMeUpU6vk_7d0gLjAHaE8&pid=Api&P=0&h=220
15,Thác Đắk Tô,Kon Tum,"Nằm gần thị trấn Đắk Tô, thác nước này hoang sơ và yên bình, là địa điểm lý tưởng để thư giãn giữa thiên nhiên",4.3,https://cdn.tgdd.vn/Files/2023/09/11/1546829/du-lich-dak-to-kon-tum-di-dau-5-dia-diem-duoc-yeu-thich-202309112252096063.jpg
16,Đèo Ô Quy Hồ,Lai Châu ,"Một trong ""Tứ đại đỉnh đèo"" của Tây Bắc, Đèo Ô Quy Hồ nối liền Lào Cai và Lai Châu, nổi tiếng với cảnh sắc tuyệt đẹp và độ cao hùng vĩ",4.5,https://www.kynghidongduong.vn/userfiles/images/Vietnam/Sapa/deo-o-quy-ho-sapa-kynghidongduong.vn%20(02).jpg
17,Đỉnh Pu Ta Leng,Lai Châu ,"Đỉnh núi cao thứ hai Việt Nam (3.049m), thuộc dãy Hoàng Liên Sơn, được mệnh danh là ""nóc nhà thứ hai"" của Đông Dương.",4.6,https://tse4.mm.bing.net/th?id=OIP.BiJgl7PpikStQvCnsbFBnQHaEc&pid=Api&P=0&h=220
18,Cánh đồng Mường Than,Lai Châu ,"Vào mùa lúa chín, cánh đồng Mường Than rực rỡ sắc vàng, tạo nên một bức tranh thiên nhiên thơ mộng",4.7,https://tse2.mm.bing.net/th?id=OIP.9LboGnBOwneYQW4KMBKl9gHaEK&pid=Api&P=0&h=220
19,Hồ Thủy Điện Lai Châu,Lai Châu ,"Hồ nước nhân tạo khổng lồ được tạo nên từ công trình Thủy điện Lai Châu, nằm giữa khung cảnh núi non thơ mộng.",4.5,https://tse2.mm.bing.net/th?id=OIP.l_QHXHqnrJUG2mNIawZdzAHaFj&pid=Api&P=0&h=220
20,Chợ phiên Sìn Hồ,Lai Châu ,"Nơi diễn ra các hoạt động mua bán nhộn nhịp của các dân tộc Thái, H’Mông, Dao, Lự...",4.3,https://tse3.mm.bing.net/th?id=OIP.DttHClSeqyAUJH2yDY5JVAHaE7&pid=Api&P=0&h=220
21,Hồ Xuân Hương,Lâm Đồng,"Biểu tượng của Đà Lạt, hồ nằm ngay trung tâm thành phố, bao quanh bởi rừng thông và những vườn hoa.",4.7,https://tse3.mm.bing.net/th?id=OIP.chmIO_bl-TWTEivpGFWdCAHaFj&pid=Api&P=0&h=220
22,Thiền Viện Trúc Lâm,Lâm Đồng,"Một thiền viện nổi tiếng tọa lạc gần Hồ Tuyền Lâm, mang kiến trúc thanh tịnh và không gian yên bình.",4.6,https://tse1.mm.bing.net/th?id=OIP.0pUp5Fpj3xerMHL6wzKj_QHaFj&pid=Api&P=0&h=220
23,Chợ Đêm Đà Lạt,Lâm Đồng,"Chợ đêm Đà Lạt là nơi bạn có thể thưởng thức đặc sản như bánh tráng nướng, sữa đậu nành và mua quà lưu niệm.",4.8,https://tse3.mm.bing.net/th?id=OIP.nBiR1UiYs6NlbrXhm_FL5wHaE6&pid=Api&P=0&h=220
24,Dinh Bảo Đại,Lâm Đồng,"Một trong ba dinh thự của vua Bảo Đại tại Đà Lạt, mang phong cách kiến trúc Pháp tinh tế.",4.5,https://tse3.mm.bing.net/th?id=OIP.FGJV3cBpn9MxjuFGoEEKZAHaE8&pid=Api&P=0&h=220
25,Thác Voi,Lâm Đồng,"Tọa lạc ở Nam Ban, thác Voi hùng vĩ và hoang sơ, là nơi lý tưởng cho những ai yêu thích khám phá thiên nhiên.",4.5,https://agotourist.com/wp-content/uploads/2022/05/thac-voi-duoc-chung-nhan-la-thang-canh-quoc-gia.jpg
26,Động Tam Thanh,Lạng Sơn,"Được mệnh danh là ""Đệ nhất bát cảnh Xứ Lạng""các nhũ đá kỳ thú và nhiều di tích cổ như tượng Phật A Di Đà cao 2m được tạc từ thế kỷ 15.",4.2,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/03/Tam-Thanh.jpg
27,Chợ Đông Kinh,Lạng Sơn,"Là trung tâm thương mại lớn nhất ở Lạng Sơn, nổi tiếng với các mặt hàng phong phú",4.5,https://tse2.mm.bing.net/th?id=OIP.jIAxzffR49430SWWKToE6wHaEx&pid=Api&P=0&h=220
28,Cửa khẩu Hữu Nghị,Lạng Sơn,"Đây là cửa khẩu quốc tế lớn giữa Việt Nam và Trung Quốc, nằm trên tuyến quốc lộ 1A.",4.7,https://tse1.mm.bing.net/th?id=OIP.Wf6JQTisUsMbq6-2euQeKQHaFj&pid=Api&P=0&h=220
29,Đèo Bông Lau,Lạng Sơn,Là một cung đèo đẹp với những khúc cua uốn lượn và khung cảnh thiên nhiên ngoạn mục.,4.2,https://tse4.mm.bing.net/th?id=OIP.bjd29nTPNt90j6mM3SC0qAHaEX&pid=Api&P=0&h=220
30,Chùa Tiên ,Lạng Sơn,"Chùa Tiên nằm trên núi Đại Tượng, gắn liền với nhiều câu chuyện huyền thoại và mang đậm dấu ấn Phật giáo.",4.3,https://tse2.mm.bing.net/th?id=OIP.FxWdyg8edX5JSQPZPlZ8dwHaE7&pid=Api&P=0&h=220
31,Đỉnh Núi Fansipan,Lào Cai,Fansipan được mệnh danh là “Nóc nhà Đông Dương” với độ cao 3.147m.,4.8,https://limtravel.vn/wp-content/uploads/2020/10/tour-leo-nui-fansipan-3-1.jpg
32,Cổng Trời Ô Quy Hồ,Lào Cai,"Đèo Ô Quy Hồ là một trong ""Tứ đại đỉnh đèo"" của Tây Bắc, nối liền Lào Cai và Lai Châu.",4.5,https://media.techcity.cloud/vietnam.vn/2023/09/cong-troi-o-quy-ho-sapa_26-09-2022_175234433.jpg
33,Chợ phiên Bắc Hà,Lào Cai,"Chợ phiên Bắc Hà nổi tiếng với các mặt hàng thổ cẩm, nông sản và các món ăn đặc trưng của người dân tộc H’Mông, Dao.",4.3,https://tse1.mm.bing.net/th?id=OIP.4K8zaZgInJkSkftXRLz_-wHaFA&pid=Api&P=0&h=220
34,Thác Tình Yêu,Lào Cai,Là một điểm đến lãng mạn với dòng nước trong xanh chảy qua rừng nguyên sinh.,4.5,https://docmiendatnuoc.com/wp-content/uploads/2019/07/thac-tinh-yeu-sapa-1.jpg
35,Đền Thượng,Lào Cai,"Là nơi thờ Trần Hưng Đạo, vị tướng tài ba trong lịch sử Việt Nam.",4.3,https://52hz.vn/wp-content/uploads/2023/01/31-den-thuong-lao-cai-chinh-dien.jpg
36,Làng nổi Tân Lập,Long An,"Là khu rừng tràm ngập nước rộng lớn, nổi tiếng với con đường xuyên rừng dài gần 5km.",4.4,https://disantrangan.vn/wp-content/uploads/2021/05/lang_noi_tan_lap_18-1600x1066.jpg
37,Nhà cổ Trăm Cột,Long An,Là một ngôi nhà cổ độc đáo với 120 cột gỗ quý được chạm khắc tinh xảo.,4.5,https://tse4.mm.bing.net/th?id=OIP.E5QmqrexARskIuVpHN_f3wHaFR&pid=Api&P=0&h=220
38,Chùa Tôn Thạnh,Long An,"Ngôi chùa này là nơi cụ Nguyễn Đình Chiểu từng ở và sáng tác bài văn tế ""Văn tế nghĩa sĩ Cần Giuộc"".",4.6,https://tse4.mm.bing.net/th?id=OIP.4g4eE5ZOp5g9_9DlwrJZrwHaEw&pid=Api&P=0&h=220
39,Sông Vàm Cỏ ,Long An,Hai dòng sông lớn chảy qua Long An tạo nên vẻ đẹp sông nước đặc trưng.,4.2,https://tse2.mm.bing.net/th?id=OIP.ZorRqKgh2xWA02dJByJFpQHaEK&pid=Api&P=0&h=220
40,Chợ đêm Tân An,Long An,Là nơi lý tưởng để thưởng thức ẩm thực địa phương và mua sắm các đặc sản Long An,4.7,https://tse1.mm.bing.net/th?id=OIP.pqR8Xckg_RDQQn2YZLpmegHaEK&pid=Api&P=0&h=220
41,Nhà thờ Phú Nhai,Nam Đinh,"Là một trong những nhà thờ lớn và cổ kính nhất Việt Nam, mang phong cách kiến trúc Gothic đặc sắc.",4.5,https://photo-cms-vovworld.zadn.vn/w500/Uploaded/vovworld/yzfsm/2020_01_10/kpvn014_AXJU.jpg
42,Đền Trần,Nam Đinh,"Nằm tại phường Lộc Vượng, thành phố Nam Định, đền Trần thờ các vua nhà Trần, gắn liền với lịch sử hào hùng của triều đại này.",4.3,https://tse3.mm.bing.net/th?id=OIP.CNccGQUyOTTpBixYdfCL5wHaE7&pid=Api&P=0&h=220
43,Vườn quốc gia Xuân Thủy,Nam Đinh,"Đây là khu bảo tồn thiên nhiên nằm ở huyện Giao Thủy, thuộc vùng hạ lưu sông Hồng.",4.6,https://tse4.mm.bing.net/th?id=OIP.DfkyYRBhnuiU-rR43dUeJAHaFS&pid=Api&P=0&h=220
44,Chợ Viềng,Nam Đinh,"Là phiên chợ đặc biệt chỉ diễn ra một lần trong năm vào đêm mùng 7, rạng sáng mùng 8 tháng Giêng âm lịch.",4.6,https://phuday.com/wp-content/uploads/2020/01/cho-vieng-phu-day-nam-dinh-768x432.jpg
45,Hồ Vị Xuyên,Nam Đinh,"Hồ nằm trong thành phố Nam Định, là một địa điểm lý tưởng để thư giãn, đi dạo, thưởng thức không gian xanh và yên bình.",4.5,https://tse3.mm.bing.net/th?id=OIP.mrQZh6uVh3jWDHuvlXNjHwHaFj&pid=Api&P=0&h=220
46,Làng Sen,Nghệ An,"Là một ngôi nhà tranh đơn sơ, giếng Cốc, và những kỷ vật gắn liền với thời thơ ấu của Bác.",4.7,https://tse3.mm.bing.net/th?id=OIP.3gHvKfVcK1kovpdqLo2OtwAAAA&pid=Api&P=0&h=220
47,Bãi biển Cửa Lò,Nghệ An,"Một trong những bãi biển đẹp nhất miền Trung, Cửa Lò thu hút du khách với cát trắng mịn, nước biển trong xanh và hải sản tươi ngon.",4.6,https://tse1.mm.bing.net/th?id=OIP.hzSUzcdB1G9w2e52jf6HHAHaD-&pid=Api&P=0&h=220
48,Khu di tích Truông Bồn,Nghệ An,"Là một di tích lịch sử quan trọng, nơi tưởng nhớ các anh hùng liệt sĩ đã hy sinh trong cuộc kháng chiến chống Mỹ.",4.5,https://tse3.mm.bing.net/th?id=OIP.XdhDVeaTTt6NYVOiOOHpSAHaEK&pid=Api&P=0&h=220
49,Đồi chè Thanh Chương,Nghệ An,"Được mệnh danh là ""đảo chè"", đồi chè Thanh Chương là địa điểm lý tưởng để chụp ảnh và tận hưởng không khí trong lành.",4.5,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/08/doi-che-thanh-chuong.jpg
50,Hang Thẩm Ồm,Nghệ An,"Là một hang động lớn, với nhiều thạch nhũ kỳ ảo, hình thù độc đáo.",4.3,https://tse1.mm.bing.net/th?id=OIP.dqYi6NCHovDo0Srdp6NMwQHaE8&pid=Api&P=0&h=220
51,Tràng An,Ninh Bình,"Là Di sản Văn hóa và Thiên nhiên thế giới, Tràng An nổi bật với cảnh núi non hùng vĩ và hệ thống hang động độc đáo.",4.6,https://dulichninhbinh.com.vn/mypicture/images/2020/10/Trang-An-2.jpg
52,Tam Cốc,Ninh Bình,"Được mệnh danh là ""vịnh Hạ Long trên cạn"", với cảnh sắc thiên nhiên tuyệt đẹp của núi đá vôi, cánh đồng lúa, và dòng sông Ngô Đồng.",4.7,https://tse2.mm.bing.net/th?id=OIP.e1wQWQ7OBNItnMauRi6uwgHaEo&pid=Api&P=0&h=220
53,Cố đô Hoa Lư,Ninh Bình,"Là kinh đô của nước Đại Cồ Việt dưới triều Đinh và Tiền Lê, Hoa Lư lưu giữ nhiều di tích lịch sử quan trọng",4.5,https://tse3.mm.bing.net/th?id=OIP.HKYPnw54Dsgh0XZTqKPKyQHaE7&pid=Api&P=0&h=220
54,Vườn quốc gia Cúc Phương,Ninh Bình,"Là vườn quốc gia đầu tiên của Việt Nam với hệ động thực vật phong phú, những cây cổ thụ nghìn năm tuổi và các hang động tiền sử.",4.8,https://tse2.mm.bing.net/th?id=OIP.V7YRaVEqqQndhpDcL0tNSQHaD8&pid=Api&P=0&h=220
55,Hồ Đồng Chương,Ninh Bình,"Hồ Đồng Chương là một hồ nước tự nhiên nằm giữa rừng thông, rất yên bình và thơ mộng.",4.3,https://dulichdiaphuong.com/imgs/tinh-ninh-binh/ho-dong-chuong.jpg
56,Vịnh Vĩnh Hy,Ninh Thuận,"Một trong bốn vịnh đẹp nhất Việt Nam, Vĩnh Hy gây ấn tượng bởi nước biển trong xanh, bãi cát trắng mịn, và các rạn san hô rực rỡ.",4.6,https://tse1.mm.bing.net/th?id=OIP.1gJ08quIQVapIDmYLV1GRgHaE7&pid=Api&P=0&h=220
57,Vườn quốc gia Núi Chúa,Ninh Thuận,"Là khu bảo tồn thiên nhiên với hệ sinh thái rừng khô hạn độc đáo, được UNESCO công nhận là Khu dự trữ sinh quyển thế giới.",4.7,https://media.mia.vn/uploads/blog-du-lich/vuon-quoc-gia-nui-chua-khu-du-tru-sinh-quyen-moi-cua-the-gioi-1-1658800083.jpg
58,Tháp Po Klong Garai,Ninh Thuận,"Đây là nơi thờ vua Po Klong Garai, thể hiện kiến trúc và nghệ thuật điêu khắc tinh xảo của người Chăm.",4.5,https://tse3.mm.bing.net/th?id=OIP.LO2tIYILI_ngw7Kxfq0L7AHaE5&pid=Api&P=0&h=220
59,Vườn nho Ninh Thuận,Ninh Thuận,Là các vườn nho nổi tiếng với nhiều sản phầm nho được sản xuất tại đây,4.2,https://tse2.mm.bing.net/th?id=OIP.6FjDfpDUcJ0jZrJAVJKVGQHaEK&pid=Api&P=0&h=220
60,Hồ Ba Bể,Ninh Thuận,"Là hồ nước mặn lớn ở Ninh Thuận, nơi sinh sống của nhiều loài thủy sản quý hiếm",4.5,https://tse2.mm.bing.net/th?id=OIP.tZEynIwFJnKOPgKiAntpigHaEK&pid=Api&P=0&h=220
61,Đền Hùng,Phú Thọ,"Là khu di tích lịch sử quốc gia đặc biệt, nơi thờ các vua Hùng – những người dựng nước đầu tiên của dân tộc Việt Nam.",4.7,https://tse4.mm.bing.net/th?id=OIP.14_huh2INyBfjWTu11d8hAHaDX&pid=Api&P=0&h=220
62,Làng cổ Hùng Lô,Phú Thọ,"Nổi tiếng với các ngôi nhà cổ hàng trăm năm tuổi, cùng các nghề truyền thống như làm bánh chưng, bánh giầy.",4.5,https://tse1.mm.bing.net/th?id=OIP.PuN6PGPDxH26j32lV3PDNwHaFj&pid=Api&P=0&h=220
63,Đảo Ngọc Xanh,Phú Thọ,"Là khu du lịch sinh thái kết hợp nghỉ dưỡng, với cảnh quan thiên nhiên trong lành, công viên nước, trò chơi cảm giác mạnh và khu suối nước nóng",4.7,https://tse1.mm.bing.net/th?id=OIP.7efND2yzFvvpeKQnvS52ygHaEb&pid=Api&P=0&h=220
64,Vườn quốc gia Xuân Sơn,Phú Thọ,"Là một trong những khu bảo tồn thiên nhiên lớn nhất miền Bắc, nổi bật với hệ sinh thái rừng nhiệt đới và các loài động, thực vật phong phú",4.6,https://tse2.mm.bing.net/th?id=OIP.P0f3XiQklTZTeh11_svtbwHaFt&pid=Api&P=0&h=220
65,Suối nước nóng Thanh Thủy,Phú Thọ,Là khu vực có các dịch vụ nghỉ dưỡng và trị liệu hiện đại.,4.5,https://tuongtaccongdong.s3.amazonaws.com/a4c1ca5a-cbd3-4f89-a276-0a70527ffa7a/79554a07-25ed-475e-b814-d62ae7bd06ea.jpg
66,Gành Đá Đĩa,Phú Yên,"Một kỳ quan thiên nhiên độc đáo, Gành Đá Đĩa nổi bật với những cột đá bazan xếp chồng lên nhau như những chiếc đĩa.",4.7,https://tse4.mm.bing.net/th?id=OIP.wBFmyTIu6USelBkHI5SOBQHaE7&pid=Api&P=0&h=220
67,Hòn Yến,Phú Yên,"Là một hòn đảo nhỏ với cảnh quan hoang sơ, nổi bật với những rạn san hô tuyệt đẹp.",4.6,https://tse2.mm.bing.net/th?id=OIP.5r-1v-qQkq4A7RZF8ZALHgHaE7&pid=Api&P=0&h=220
68,Hải đăng Đại Lãnh,Phú Yên,"Là điểm cực Đông của Việt Nam, nơi đón ánh bình minh đầu tiên trên đất liền",4.5,https://tse1.mm.bing.net/th?id=OIP.Q7kI4toZEEYCxS-pM3yRfgHaDX&pid=Api&P=0&h=220
69,Suối nước nóng Triêm Đức,Phú Yên,Là một điểm đến thú vị để thư giãn và ngâm mình trong làn nước khoáng ấm áp.,4.6,https://tripmap.vn/wp-content/uploads/2021/07/suoi-nuoc-khoang-triem-duc-1626245826513.jpg
70,Tháp Nhạn,Phú Yên,"Tháp Nhạn nằm trên núi Nhạn ở thành phố Tuy Hòa, là một công trình kiến trúc Chăm cổ kính và linh thiêng.",4.4,https://tse3.mm.bing.net/th?id=OIP.j7Y3zi_M9U91OkWt3Da8zQHaJQ&pid=Api&P=0&h=220
71,Động Phong Nha,Quảng Bình,"Phong Nha - Kẻ Bàng, được UNESCO công nhận là Di sản Thiên nhiên Thế giới.",4.8,https://tse4.mm.bing.net/th?id=OIP.JdKfzuou2kznDok9wau7EQHaD8&pid=Api&P=0&h=220
72,Bãi Đá Nhảy,Quảng Bình,Là nơi nổi bật với những khối đá có hình thù độc đáo bên bờ biển.,4.4,https://cdn3.ivivu.com/2023/04/bai-da-nhay-ivivu-1.jpg
73,Đền Thánh Mẫu Liễu Hạnh,Quảng Bình,Là nơi linh thiêng thờ vị thánh trong tín ngưỡng dân gian Việt Nam.,4.3,https://tse2.mm.bing.net/th?id=OIP.lCVtkvtMPFPPCOoehvKPqgHaFj&pid=Api&P=0&h=220
74,Nhà lưu niệm Đại tướng Võ Nguyên Giáp,Quảng Bình,Là nơi lưu giữ những kỷ vật gắn bó với tuổi thơ của Đại tướng Võ Nguyên Giáp.,4.5,https://tse4.mm.bing.net/th?id=OIP.PCk93VVT5QVj78DW3MA54AHaE8&pid=Api&P=0&h=220
75,Sông Chày ,Quảng Bình,"Là điểm đến lý tưởng cho những người yêu thích phiêu lưu, Sông Chày kết hợp giữa vẻ đẹp sông nước và hang động.",4.4,https://tse1.mm.bing.net/th?id=OIP.5-sP9bg-nnIa5GiTqFgWXQHaEK&pid=Api&P=0&h=220
76,Phố cổ Hội An,Quảng Nam,"Những ngôi nhà cổ kính và có kiến trúc độc đáo như: những ngôi nhà lợp ngối đá, nhưng bức tường vàng mang lại vẻ đẹp
yên bình. Đặt biệt bạn có thể thư dãn dạo bước với những đường nhỏ hẹp quanh sông Hoài ",4.7,http://surl.li/tocerf
77,Bãi biển An Bàng,Quảng Nam,"Sở hữu vẻ đẹp yên bình, hoang sơ với những bãi các vàng, biển xanh, khí hậu vô cùng mát mẻ và trong lành.",4,http://surl.li/hdwlva
78,Tháp Chiên Đàn,Quảng Nam,"Hiểu hơn về văn hóa Champa, sở hữu một nhà trưng bày nhưng tác phẩm điêu khắc tiêu biểu, vô vàn những món đồ quý hiếm",3.5,http://surl.li/sdynak
79,Đỉnh Quế,Quảng Nam,"Với độ cao 1400km, được coi là ngọn núi đẹp nhất của Trường Sơn hùng vĩ, bạn có thể đắm chìm vào không gian cảnh sắt
thiên nhiên tươi đẹp. Bạn như lạc vào chốn bồng lai tiên cảnh, yên bình và lãng mạn vô cùng. Đặt biệt dọc để lên được Đỉnh Quế, bạn sẽ lần lượt sở hữu những bức tranh đẹp tại cổng trời Azứt, thác Ra-ai hay cộng đồng Cơ Tu.",4,http://surl.li/ympldh
80,Thánh Địa Mỹ Sơn,Quảng Nam,"Một thung lũng có đường kính 2km, Nơi đây bao quanh là núi đồi, vô cùng ẩn mình. Địa điểm này từng là nơi tổ chức cúng tế 
vương triều Champa. Khám quá nhiều di sản quý báu khi đến nới đây.",4.5,http://surl.li/qntmjh
